Legislative District,Total Population 2010,Population of One Race 2010,White Alone 2010,Black or African American Alone 2010,American Indian and Alaska Native Alone 2010,Asian Alone 2010,Native Hawaiian and Other Pacific Islander Alone 2010,Some Other Race Alone 2010,Population of Two or More Races 2010,Hispanic or Latino (of Any Race) 2010,Not Hispanic or Latino 2010,Population of One Race Not Hispanic or Latino 2010,White Alone Not Hispanic or Latino 2010,Black or African American Alone Not Hispanic or Latino 2010,American Indian and Alaska Native Alone Not Hispanic or Latino 2010,Asian Alone Not Hispanic or Latino 2010,Native Hawaiian and Other Pacific Islander Alone Not Hispanic or Latino 2010,Some Other Race Alone Not Hispanic or Latino 2010,Population of Two or More Races Not Hispanic or Latino 2010,Total Population Over 18 2010,Population of One Race Over 18 2010,White Alone Over 18 2010,Black or African American Alone Over 18 2010,American Indian and Alaska Native Alone Over 18 2010,Asian Alone Over 18 2010,Native Hawaiian and Other Pacific Islander Alone Over 18 2010,Some Other Race Alone Over 18 2010,Population of Two or More Races Over 18 2010,Hispanic or Latino (of Any Race) Over 18 2010,Not Hispanic or Latino Over 18 2010,Population of One Race Not Hispanic or Latino Over 18 2010,White Alone Not Hispanic or Latino Over 18 2010,Black or African American Alone Not Hispanic or Latino Over 18 2010,American Indian and Alaska Native Alone Not Hispanic or Latino Over 18 2010,Asian Alone Not Hispanic or Latino Over 18 2010,Native Hawaiian and Other Pacific Islander Alone Not Hispanic or Latino Over 18 2010,Some Other Race Alone Not Hispanic or Latino Over 18 2010,Population of Two or More Races Not Hispanic or Latino Over 18 2010
Washington State,6724540,6411614,5196362,240042,103869,481067,40475,349799,312926,755790,5968750,5721397,4876804,229603,88735,475634,38783,11838,247353,5143186,4984202,4113056,174258,73523,377550,27608,218207,158984,456355,4686831,4557277,3916304,168177,64574,373973,26642,7607,129554
10,137233,132151,119541,2004,1948,4275,513,3870,5082,9546,127687,123548,115057,1905,1727,4190,486,183,4139,107672,105130,96120,1391,1372,3418,357,2472,2542,5762,101910,99760,93343,1340,1240,3369,343,125,2150
11,137278,129092,71456,15773,1122,30275,1384,9082,8186,18688,118590,112030,64222,15365,795,30067,1320,261,6560,104082,100006,57852,11073,846,23216,984,6035,4076,11908,92174,88859,53220,10828,621,23089,944,157,3315
12,137285,133416,107156,467,4599,990,175,20029,3869,34526,102759,100445,94723,350,4111,954,159,148,2314,102571,100522,84205,319,3162,753,120,11963,2049,20192,82379,81077,76994,241,2906,729,108,99,1302
13,137280,132815,108807,1344,1434,1640,131,19459,4465,37136,100144,97580,93589,1038,1090,1597,113,153,2564,100746,98256,83164,974,1041,1376,95,11606,2490,21607,79139,77559,74413,785,826,1342,83,110,1580
14,137218,132063,101108,1410,6702,1792,133,20918,5155,37114,100104,97076,88006,1171,5953,1699,104,143,3028,101103,98464,78967,1025,4380,1370,103,12619,2639,21616,79487,77744,71356,907,3979,1312,85,105,1743
15,137224,132301,81973,1047,4541,1011,106,43623,4923,74806,62418,60580,54976,698,3722,899,71,214,1838,92360,89824,59458,711,2941,780,79,25855,2536,43327,49033,47969,44036,520,2511,714,57,131,1064
16,137198,133226,99538,1966,1241,1484,257,28740,3972,48657,88541,86412,81903,1782,914,1419,236,158,2129,98773,96718,75966,1567,915,1193,198,16879,2055,28192,70581,69345,65744,1458,704,1153,185,101,1236
17,137230,131182,114836,3088,1160,6967,1195,3936,6048,11061,126169,121292,109133,2938,971,6863,1152,235,4877,99807,97165,85799,2095,839,5191,784,2457,2642,6369,93438,91250,82463,2024,716,5138,764,145,2188
18,137217,132641,122591,1255,947,5725,354,1769,4576,6038,131179,127267,119027,1214,822,5667,334,203,3912,97231,95270,88441,799,643,4058,232,1097,1961,3391,93840,92128,86419,779,568,4020,227,115,1712
