name,Legislative District
0,19
1,40
2,39
3,10
4,02
5,30
6,31
7,47
8,47
9,30
10,23
11,48
12,48
13,48
14,42
15,42
16,05
17,42
18,42
19,35
20,24
21,14
22,12
23,20
24,07
25,09
26,09
27,09
28,09
29,07
30,20
31,10
32,47
33,39
34,39
35,42
36,12
37,32
38,13
39,24
40,31
41,13
42,38
43,38
44,38
45,38
46,38
47,24
48,28
49,26
50,26
51,02
52,12
53,31
54,19
55,41
56,05
57,09
58,08
59,33
60,05
61,45
62,44
63,39
64,19
65,40
66,44
67,38
68,24
69,06
70,07
71,13
72,20
73,10
74,10
75,20
76,24
77,42
78,04
79,07
80,10
81,13
82,22
83,22
84,22
85,22
86,07
87,09
88,09
89,09
90,24
91,24
92,24
93,24
94,24
95,02
96,25
97,24
98,24
99,24
100,13
101,48
102,45
103,48
104,45
105,45
106,37
107,41
108,11
109,07
110,08
111,08
112,08
113,09
114,43
115,11
116,36
117,46
118,36
119,46
120,37
121,36
122,43
123,11
124,43
125,36
126,39
127,15
128,24
129,24
130,40
131,35
132,23
133,23
134,23
135,19
136,03
137,03
138,04
139,04
140,03
141,39
142,28
143,42
144,27
145,27
146,27
147,11
148,17
149,49
150,49
151,49
152,34
153,16
154,16
155,18
156,12
157,14
158,14
159,23
160,01
161,45
162,14
163,14
164,15
165,14
